Symbol
'00001'
'00002'
'00003'
'00005'
'00006'
'00011'
'00012'
'00016'
'00017'
'00027'
'00066'
'00101'
'00175'
'00267'
'00288'
'00386'
'00388'
'00669'
'00688'
'00700'
'00762'
'00823'
'00857'
'00883'
'00939'
'00941'
'01038'
'01044'
'01093'
'01109'
'01113'
'01177'
'01299'
'01398'
'01810'
'01928'
'02007'
'02018'
'02020'
'02269'
'02313'
'02318'
'02319'
'02382'
'02388'
'02628'
'03328'
'03690'
'03988'
